"action_id","action_name","action_type","description","action_category","action_subcategory","investment_cost","implementation_timeline","biome"
ipcc_0091,Support livelihood diversification for climate resilience,adaptation,"Promote alternative income opportunities to reduce the vulnerability of communities dependent on fisheries and mariculture. Municipal governments can facilitate training, microcredit programs, and connections to value chains that enable diversification into eco-tourism, agro-processing, crafts, and service sectors. By supporting infrastructure upgrades, skills development, and access to finance, cities can help stabilize incomes, strengthen local economies, and protect livelihoods from the impacts of shifting marine species distributions and climate variability.","Policies, Plans & Programs",Public Programs / Incentives,medium,<5 years,coastal_marine
ipcc_0092,Expand climate‑responsive social safety nets,adaptation,"Social safety nets encompass adaptive social protection mechanisms to reduce food insecurity and malnutrition, especially for vulnerable populations. These include cash transfers, school feeding programs, public work initiatives, unemployment compensation, land reforms, credit and insurance schemes. Integrated approaches combine climate risk assessments with disaster risk reduction, education, and social equity to enhance resilience to climate stresses.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0094,Strengthen climate‑resilient health services,adaptation,"Enhancing access to health care services, including health and nutrition services, clean water, sanitation, and culturally appropriate mental health resources. Expanding telemedicine capabilities enables efficient health service delivery, particularly for remote and underserved populations. Strengthening basic public health systems and disaster preparedness can rapidly reduce vulnerability to climate-related health risks.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0096,Strengthen climate resilience in farming and fisheries,adaptation,"Support the adoption of climate-smart agricultural and aquaculture practices by creating enabling conditions for farmers and fishers. Municipal governments can promote improved breeds, feed, and fertilizers, enhance irrigation efficiency, and foster aquaculture resilience through extension services, research partnerships, and targeted procurement. By offering incentives, technical assistance, and facilitating access to innovation and finance, cities can help producers adopt agroecological systems, diversify crops, and strengthen sustainable practices that build resilience to climate impacts.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0097,Upgrade food storage and distribution for climate resilience,adaptation,"Strengthen local food systems by improving storage and distribution infrastructure to reduce losses and enhance resilience to climate impacts. Municipal governments can invest in public facilities such as cool storage units, silos, and warehouses, while upgrading logistics to handle perishable goods more efficiently. By supporting local markets, optimizing distribution networks, and facilitating access to reliable storage for producers and vendors, cities can improve food security, reduce waste, and ensure stable food availability during crises and extreme events.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
ipcc_0098,"Increase resilience by improving access to food, improving livelihoods and promoting dietary shifts and food waste reduction",adaptation,"Increase resilience through improved food production, distribution, and consumption practices. Actions include enhancing agricultural techniques, adopting water-saving technologies, implementing low-cost storage solutions, and promoting plant-based diets. Policymakers can encourage these behaviors with appropriate pricing policies, sustainable agriculture initiatives, and support for disadvantaged groups. The action emphasizes shifting to healthier diets, reducing overconsumption, and supporting local food systems to mitigate greenhouse gas emissions and ensure food security under climate change.","Policies, Plans & Programs",Public Programs / Incentives,medium,"5-10 years",
ipcc_0099,Increase Water Capture and Storage,adaptation,"Implementation of water harvesting and storage solutions, such as on-farm ponds, water body revitalization, rain gardens, bioswales, retention ponds, pumped storage, and water storage tanks. These measures aim to mitigate climate-induced impacts by improving water management, reducing stormwater runoff, improving water quality, and supporting agriculture and energy production in changing climate scenarios. Water reservoirs and multipurpose dams offer additional benefits by addressing water scarcity and managing risks associated with natural disasters. These adaptation strategies contribute to sustainable water use and resilience to climate-related challenges.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
ipcc_0100,Improve Efficient water use/demand,adaptation,"Implementing advanced irrigation techniques such as precision and drip irrigation to enhance water use efficiency in agriculture. Managed Aquifer Recharge (MAR) is applied to replenish groundwater supplies using stormwater, treated wastewater, or other sources. These actions are complemented by cooperative policies across multiple sectors to ensure sustainable water resource management, equitable access, and regional collaboration. Additionally, promoting changes in water consumption patterns, such as reducing waste and improving efficiency in urban and agricultural water use, supports resilience against water scarcity and enhances adaptive capacity in vulnerable regions. These efforts collectively aim to address the growing demand for freshwater in the face of climate change and ensure long-term sustainability.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
ipcc_0101,Improve urban water management,adaptation,"Implementing sustainable water supply systems by constructing irrigation infrastructure, promoting inter-basin water transfers, utilizing nature-based solutions (NBS) such as rain gardens, bioswales, and wetlands, and integrating advanced techniques like water reuse and water upgrading. Water reuse involves treating and recycling wastewater for non-potable or potable purposes, while water upgrading focuses on improving the quality of available water for diverse uses. These approaches enhance stormwater infiltration, improve urban water management, increase drought resilience, and support groundwater recharge. They provide energy-efficient and economical water solutions while maintaining sustainable urban development.",Projects & Physical Actions,Infrastructure Development,medium,"5-10 years",
ipcc_0102,Facilitate seasonal and temporary mobility strategies,adaptation,"Facilitating mobility of fishing fleets and workers to adapt to shifting marine species distributions caused by climate change. This includes enabling seasonal or temporary migration to align with the availability of resources, improving infrastructure and technology to support mobility, and fostering flexible governance to manage transboundary resources sustainably. These actions aim to maintain livelihoods and reduce economic impacts of climate variability.","Policies, Plans & Programs",Institutional Frameworks,medium,"5-10 years",coastal_marine
ipcc_0103,Strengthen cooperative climate governance,adaptation,"Enhancing cooperative governance through transboundary fishing agreements and inclusive ocean governance. This involves participatory approaches, structured decision-making tools, and decentralized frameworks that couple top-down management with community-driven initiatives. Additional strategies include collective water management systems to optimize resource use under climate-induced variability, indigenous water-sharing systems rooted in traditional practices to ensure sustainable and equitable resource allocation, and enforcing the land rights of Indigenous populations to protect biodiversity and cultural heritage. Adaptive co-management in Arctic fisheries integrates local and scientific knowledge to address climate impacts on marine resources. The international compact on migration fosters orderly and safe migration as an adaptive response to climate risks, and policies for adaptive governance promote ecosystem-based solutions, legal frameworks, and institutional adaptations to enhance resilience to climate change. These combined measures address geopolitical complexities, ensure equitable resource distribution, and strengthen resilience to climate-induced hazards.","Policies, Plans & Programs",Institutional Frameworks,medium,"5-10 years",
ipcc_0104,Plan and support permanent climate‑related migration,adaptation,"Resettlement of communities from flood-prone areas and rural–urban migration as a strategy to mitigate vulnerabilities caused by climate change. This includes addressing urbanization challenges, such as unplanned development, water insecurity, and socioeconomic disparities, while providing equitable opportunities for migrants in urban centers. Measures include enhancing urban planning, water resource management, and social support systems for displaced populations.","Policies, Plans & Programs",Strategic Plans,high,"5-10 years",
ipcc_0105,Promote active mobility through road space reallocation,mitigation,"Promotes walking and cycling by reallocating road space from cars to active and sustainable modes on a permanent basis. Measures include developing pedestrian pathways, protected cycling infrastructure, green corridors, and universal accessibility improvements. By prioritizing active mobility, cities enhance public health, equity, and resilience while reducing emissions from private vehicles.",,,medium,<5 years,
